DrawNo,DrawDate,1stPrizeNo,2ndPrizeNo,3rdPrizeNo
170400,20000715,52634,62376,20079
170500,20000716,37145,12668,93381
170600,20000719,13233,12127,19712
170700,20000722,78970,90641,63352
170800,20000723,65839,11113,52075
170900,20000726,05325,35378,59032
171000,20000729,66466,10220,45874
171100,20000730,61492,04654,40914
171200,20000802,12817,36307,63704
171300,20000805,78047,89148,91883
171400,20000806,69925,42053,09646
171500,20000809,90795,30652,73195
171600,20000812,68135,42005,18763
171700,20000813,50539,99859,39880
171800,20000816,20947,18524,66849
171900,20000819,40835,01400,74371
172000,20000820,42561,46582,54033
172100,20000823,73050,92050,74722
172200,20000826,25424,47663,48663
172300,20000827,84796,70733,84884
172400,20000829,27519,40876,93654
172500,20000830,23003,34955,48747
172600,20000902,29090,16872,21396
172700,20000903,37696,40606,92715
172800,20000905,40231,75968,51857
172900,20000906,37884,01822,45459
173000,20000909,20545,80101,38707
173100,20000910,81953,19383,72634
173200,20000913,56522,15707,28669
173300,20000916,70510,01291,87321
173400,20000917,12718,94063,07974
173500,20000920,24939,29741,79208
173600,20000923,04697,29717,13403
173700,20000924,68227,07914,15344
173800,20000927,46736,36864,65858
173900,20000930,02989,07186,22833
174000,20001001,12685,64795,81936
174100,20001004,23332,85275,08075
174200,20001007,31789,63009,80273
174300,20001008,35564,52888,16087
174400,20001011,74863,33187,14297
174500,20001014,52800,02658,90586
174600,20001015,45700,09351,90974
174700,20001018,61588,49503,91263
174800,20001021,69073,67798,12811
174900,20001022,31855,12962,45140
175000,20001025,77181,03136,97144
175100,20001028,09586,23270,64381
175200,20001029,50678,56518,66967
175300,20001101,22647,05881,86863
175400,20001104,72383,33465,01319
175500,20001105,30873,10706,70898
175600,20001108,35011,63614,08251
175700,20001111,18911,91117,45259
175800,20001112,13570,87417,35332
175900,20001115,23195,22060,90554
176000,20001118,72506,61247,48332
176100,20001119,54292,18544,26528
176200,20001122,90970,31272,19577
176300,20001125,41755,53162,58708
176400,20001126,79952,81919,75091
176500,20001129,21705,98898,98581
176600,20001202,61477,43713,37717
176700,20001203,92802,58076,87176
176800,20001206,71074,73123,94310
176900,20001209,11807,23432,16698
177000,20001210,27809,05709,35648
177100,20001213,08093,84483,86479
177200,20001216,58340,58231,09345
177300,20001217,60702,20925,93625
177400,20001220,57809,92147,85651
177500,20001223,30597,48976,68298
177600,20001224,69953,72442,63628
177700,20001227,46203,63973,28926
177800,20001230,19564,30817,80756
177900,20001231,92445,60195,05603
178001,20010103,14088,00331,43866
178101,20010106,58162,22697,17491
178201,20010107,30309,03882,55265
178301,20010110,14516,40794,88701
178401,20010113,01293,91700,31883
178501,20010114,81994,26052,81516
178601,20010117,48735,45952,34126
178701,20010120,55304,96318,23488
178801,20010121,38482,92727,51190
178901,20010124,83647,30235,71290
179001,20010127,04044,39563,08572
179101,20010128,50026,94025,91595
179201,20010130,65047,75198,11661
179301,20010131,85158,48434,03923
179401,20010203,79887,19044,88509
179501,20010204,72235,11373,74627
179601,20010207,71184,72026,22850
179701,20010210,97149,89527,56754
179801,20010211,63764,54636,57378
179901,20010214,49187,73829,92553
180001,20010217,31908,82036,89530
180101,20010218,84040,98738,26884
180201,20010221,34345,98941,63391
180301,20010224,94601,73391,58345
180401,20010225,15241,43043,30132
180501,20010228,60360,76632,49719
180601,20010303,95511,37013,83318
180701,20010304,42411,92163,17852
180801,20010306,02514,59885,62156
180901,20010307,99384,47609,81982
181001,20010310,59356,59962,66042
181101,20010311,86526,75965,21085
181201,20010314,03166,50665,96403
181301,20010317,96557,73660,30555
181401,20010318,23505,12628,55714
181501,20010321,41077,78937,09045
181601,20010324,75072,44380,45468
181701,20010325,62809,21789,99497
181801,20010328,14327,09226,60496
181901,20010331,41485,42133,39088
182001,20010401,38164,94546,24426
182101,20010404,73041,10364,27456
182201,20010407,23705,41159,17325
182301,20010408,88789,05267,45523
182401,20010411,21561,62153,50630
182501,20010414,14043,64876,04686
182601,20010415,19077,46988,11848
182701,20010418,08349,14049,30996
182801,20010421,55822,16972,26935
182901,20010422,51023,05825,44972
183001,20010425,02709,51245,48762
183101,20010428,63368,21462,34004
183201,20010429,57891,17167,01150
183301,20010501,55568,55725,83488
183401,20010502,71341,13867,40669
183501,20010505,01144,96857,15914
183601,20010506,52163,69265,75131
183701,20010509,14106,26988,94885
183801,20010512,38225,50630,21852
183901,20010513,01816,95816,30893
184001,20010516,93474,98038,23252
184101,20010519,30674,17350,75768
184201,20010520,62100,77017,03150
184301,20010523,53355,61187,93988
184401,20010526,92898,71076,41121
184501,20010527,96403,04412,14958
184601,20010530,44178,24744,81371
184701,20010602,04997,60945,92401
184801,20010603,18525,74270,45074
184901,20010605,11959,48053,97236
185001,20010606,65934,11354,45462
185101,20010609,33209,74695,19977
185201,20010610,57598,26531,81076
185301,20010613,85028,62834,38820
185401,20010616,38053,38518,07286
185501,20010617,28754,87269,98353
185601,20010620,76022,01350,94748
185701,20010623,28590,31825,60574
185801,20010624,13936,70549,21082
185901,20010627,10072,42438,01327
186001,20010630,93590,56001,03790
186101,20010701,68349,64360,06687
186201,20010704,48357,24585,63297
186301,20010707,52634,03962,92496
186401,20010708,01527,71041,31550
186501,20010711,10542,73582,85317
186601,20010714,59665,29866,65212
186701,20010715,85338,55992,36884
186801,20010718,70738,40923,91338
186901,20010721,18970,73953,56069
187001,20010722,58660,75415,65752
187101,20010725,34736,27308,24765
187201,20010728,94518,53788,47170
187301,20010729,61061,39197,85396
187401,20010801,86037,66001,08633
187501,20010804,55821,85810,51597
187601,20010805,97667,13021,03051
187701,20010808,87533,35754,83618
187801,20010811,30150,90815,59897
187901,20010812,66289,20578,60850
188001,20010815,45104,90954,77076
188101,20010818,63104,89753,16594
188201,20010819,58139,04521,59494
188301,20010822,09097,61543,07584
188401,20010825,01968,25498,53003
188501,20010826,79445,89475,43352
188601,20010829,17525,48491,75452
188701,20010901,12063,33286,94638
188801,20010902,61422,01817,57967
188901,20010905,33354,89352,36205
189001,20010908,34447,23665,68785
189101,20010909,52654,41906,54749
189201,20010912,46605,53463,08469
189301,20010915,49249,04353,26160
189401,20010916,87372,65730,51920
189501,20010919,76607,87362,37127
189601,20010922,29846,27472,88340
189701,20010923,60427,71092,50024
189801,20010926,04370,52202,04272
189901,20010929,74104,26615,14327
190001,20010930,27932,32577,75520
190201,20011006,88090,47303,26984
190301,20011007,80033,70828,59171
190401,20011010,59225,12059,11059
190501,20011013,01255,28710,50215
190601,20011014,10251,92238,97441
190701,20011017,29779,55040,98078
190801,20011020,63731,93576,23725
190901,20011021,28472,94927,54212
191001,20011024,81349,79841,77350
191101,20011027,17222,77912,91328
191201,20011028,42990,74749,04922
191301,20011031,44722,57224,63598
191401,20011103,20242,15874,00640
191501,20011104,78073,58398,94821
191601,20011107,68524,11545,47918
191701,20011110,29250,25687,02043
191801,20011111,50212,09187,64602
191901,20011114,71304,05712,13544
192001,20011117,03425,55689,56934
192101,20011118,63651,01630,77637
192201,20011121,81938,44480,31260
192301,20011124,65480,82487,39379
192401,20011125,46979,09520,25303
192501,20011128,44233,20661,07797
192601,20011201,80148,45834,91866
192701,20011202,31973,46684,58823
192801,20011204,98170,07186,99240
192901,20011205,34454,16768,82068
193001,20011208,53209,13649,07383
193101,20011209,44205,14353,63020
193201,20011212,18193,48386,19998
193301,20011215,07788,75823,01808
193401,20011216,17381,83462,31552
193501,20011219,48718,07236,72248
193601,20011222,14510,80040,45376
193701,20011223,42454,35047,63798
193801,20011226,20340,33593,02597
193901,20011229,37931,07694,01967
194001,20011230,94698,29295,71708
194102,20020102,17349,34675,87166
194202,20020105,22525,32031,22711
194302,20020106,23676,61394,79237
194402,20020108,50941,92818,79934
194502,20020109,37568,08793,66284
194602,20020112,49181,01601,87948
194702,20020113,98911,17149,54765
194802,20020116,17566,80735,53430
194902,20020119,21393,94752,56348
195002,20020120,70688,98708,02418
195102,20020123,90056,92228,50824
195202,20020126,74649,27750,42636
195302,20020127,17700,17404,25642
195402,20020130,20961,96484,44736
195502,20020202,55176,82367,83349
195602,20020203,57151,00366,20425
195702,20020206,60919,87376,37077
195802,20020209,62034,21816,62616
195902,20020210,51301,72574,18842
196002,20020213,35818,45987,12921
196102,20020214,61060,99436,09021
196202,20020216,57734,64595,60536
196302,20020217,14066,45405,07949
196402,20020220,62046,91165,08080
196502,20020223,28495,74850,80314
196602,20020224,03380,11375,55917
196702,20020227,35806,60200,52868
196802,20020302,16216,58568,08511
196902,20020303,49685,52675,06877
197002,20020305,35763,23104,25570
197102,20020306,48715,15544,52339
197202,20020309,07459,74721,22981
197302,20020310,86474,86495,27492
197402,20020313,01478,34760,84497
197502,20020316,80514,55275,80660
197602,20020317,29332,00259,03400
197702,20020320,40168,03212,85787
197802,20020323,31352,64446,81933
197902,20020324,77273,03451,96193
198002,20020327,98785,31275,07740
198102,20020330,97786,72420,73513
198202,20020331,67662,21104,51556
198302,20020403,87992,56247,94527
198402,20020406,39448,50035,04986
198502,20020407,95505,18413,37998
198602,20020410,20258,12610,32828
198702,20020413,56466,04362,43688
198802,20020414,93790,59649,75191
198902,20020417,69321,26157,62470
199002,20020420,88864,62702,63973
199102,20020421,03302,53623,61438
199202,20020424,04565,20825,04064
199302,20020427,07900,18142,68309
199402,20020428,86079,71242,91139
199502,20020501,65378,48386,16340
199602,20020504,59838,77832,21238
199702,20020505,26010,37689,32597
199802,20020507,47308,79664,59529
199902,20020508,85342,35529,85178
200002,20020511,36643,17114,18078
200102,20020512,49818,80035,44633
200202,20020515,61538,71446,93688
200302,20020518,13256,10425,61974
200402,20020519,90344,14656,66314
200502,20020522,42754,50826,37642
200602,20020525,46426,01375,56818
200702,20020526,16692,16010,47456
200802,20020529,06561,54039,51390
200902,20020601,39256,17839,11394
201002,20020602,53570,95806,54948
201102,20020605,49442,68597,02039
201202,20020608,68987,58435,95386
201302,20020609,51374,72489,11742
201402,20020612,99443,86123,46365
201502,20020615,34184,32605,80701
201602,20020616,24565,99742,07059
201702,20020619,31311,79081,65114
201802,20020622,32736,57874,84054
201902,20020623,15060,39616,54442
202002,20020626,68863,43928,34150
202102,20020629,19881,85800,19423
202202,20020630,23971,71547,30682
202302,20020703,41942,32232,56048
202402,20020706,90001,78249,34883
202502,20020707,52466,61888,70495
202602,20020710,23052,19624,56954
202702,20020713,90997,64911,96063
202802,20020714,62002,42490,75316
202902,20020717,24847,59214,18765
203002,20020720,65648,87741,26005
203102,20020721,06842,16989,86522
203202,20020724,59637,25767,57518
203302,20020727,68426,49122,78672
203402,20020728,21220,56643,42265
203502,20020731,02281,12895,30547
203602,20020803,89752,36896,66527
203702,20020804,91011,13348,50969
203802,20020806,98388,47406,97640
203902,20020807,43944,66844,72844
204002,20020810,57362,21205,84972
204102,20020811,27928,88402,26324
204202,20020814,41334,43634,36099
204302,20020817,14301,73207,49162
204402,20020818,76399,47734,43057
204502,20020821,21497,40525,32886
204602,20020824,93504,55513,65170
204702,20020825,35502,38603,12856
204802,20020828,57643,58872,30074
204902,20020831,23722,14345,29777
205002,20020901,19051,54097,56879
205102,20020904,34909,78450,99903
205202,20020907,18176,18487,96215
205302,20020908,82088,74105,90035
205402,20020911,72753,14896,63451
205502,20020914,13519,40868,81178
205602,20020915,72242,26986,90858
205702,20020918,04274,94519,63997
205802,20020921,88296,33848,78354
205902,20020922,12857,77109,91517
206002,20020925,58427,72911,85321
206102,20020928,29994,65512,71951
206202,20020929,78980,87457,17882
206302,20021002,65161,14082,50323
206402,20021005,63206,76437,14129
206502,20021006,04015,56113,27642
206602,20021008,71164,87241,40548
206702,20021009,98069,19289,75828
206802,20021012,96061,22099,08043
206902,20021013,24169,87161,41456
207002,20021016,16292,94445,07330
207102,20021019,99618,09469,08788
207202,20021020,12956,02179,05645
207302,20021023,16223,34617,61272
207402,20021026,21527,21188,11339
207502,20021027,00675,71556,27068
207602,20021030,68579,64237,64862
207702,20021102,14627,51364,81454
207802,20021103,37884,07574,97666
207902,20021106,98571,22227,26528
208002,20021109,05388,64463,88759
208102,20021110,21333,84917,32632
208202,20021113,15960,96190,52034
208302,20021116,10457,36062,72954
208402,20021117,21161,40631,64412
208502,20021120,23031,56179,67873
208602,20021123,91492,65696,65961
208702,20021124,39728,84179,62583
208802,20021127,23007,91001,28310
208902,20021130,57832,60205,97925
209002,20021201,96289,40262,01057
209102,20021203,58941,82357,25623
209202,20021204,57418,82220,24474
209302,20021207,58341,82871,51083
209402,20021208,74673,80469,10338
209502,20021211,35742,40130,50675
209602,20021214,97445,78264,49813
209702,20021215,61133,41357,84924
209802,20021218,42700,86711,88697
209902,20021221,60118,60827,86634
210002,20021222,40676,57741,23426
210102,20021225,66085,87858,07621
210202,20021228,48413,07906,49436
210302,20021229,64449,95255,28657
210403,20030101,70358,34516,87992
210503,20030104,32729,59855,30316
210603,20030105,14922,79308,77462
210703,20030107,67192,33514,56782
210803,20030108,16825,88158,93786
210903,20030111,67484,17838,06448
211003,20030112,05758,16031,08603
211103,20030115,01403,88161,07418
211203,20030118,69941,59166,29457
211303,20030119,45471,04006,71283
211403,20030122,12309,81637,00123
211503,20030125,49115,25515,19275
211603,20030126,54017,03931,90407
211703,20030129,24990,23633,86054
211803,20030201,47563,15657,09436
211903,20030202,82329,50482,25164
212003,20030205,52872,08570,16935
212103,20030206,20855,99225,29065
212203,20030208,39948,91324,70907
212303,20030209,13958,80810,52611
212403,20030212,61699,43612,14771
212503,20030215,26635,31454,97403
212603,20030216,65443,85639,22282
212703,20030219,52669,92971,90158
212803,20030222,57251,40137,83090
212903,20030223,81027,42029,76016
213003,20030226,63470,67717,84189
213103,20030301,89070,14088,06771
213203,20030302,27158,72265,50296
213303,20030305,86230,64232,77641
213403,20030308,53774,04619,96014
213503,20030309,72883,86023,69735
213603,20030312,37673,25013,97183
213703,20030315,37430,97811,75145
213803,20030316,68528,04718,93599
213903,20030319,83708,37218,66426
214003,20030322,72770,46667,56230
214103,20030323,38821,98619,48467
214203,20030326,57898,65175,07023
214303,20030329,89346,68991,27765
214403,20030330,29631,30079,65101
214503,20030401,84645,02366,13461
214603,20030402,02700,77501,44439
214703,20030405,91332,81603,58779
214803,20030406,67220,51580,56449
214903,20030409,31136,41994,81964
215003,20030412,57910,96006,71007
215103,20030413,39083,86715,90945
215203,20030416,81667,09182,76046
215303,20030419,46798,11398,07157
215403,20030420,43124,60635,16902
215503,20030423,39824,04382,62970
215603,20030426,93137,14984,53497
215703,20030427,56805,92983,17840
215803,20030430,30965,45178,05452
215903,20030503,57991,15100,66501
216003,20030504,57792,72232,39688
216103,20030507,81763,05876,99956
216203,20030510,24523,97393,78854
216303,20030511,54004,68316,78972
216403,20030514,29996,82205,05604
216503,20030517,10342,45437,08959
216603,20030518,39619,55116,76664
216703,20030521,49508,05816,64300
216803,20030524,34212,76705,36154
216903,20030525,75669,12306,31697
217003,20030528,05245,26523,73897
217103,20030531,74873,77176,10147
217203,20030601,13074,97769,86432
217303,20030603,70067,51301,00592
217403,20030604,55680,31403,26341
217503,20030607,03993,64780,78745
217603,20030608,58091,93929,92581
217703,20030611,48466,16085,44736
217803,20030614,39881,76367,22223
217903,20030615,34283,21091,46083
218003,20030618,70952,56757,76702
218103,20030621,45029,75234,32385
218203,20030622,71740,89140,91962
218303,20030625,16990,37521,18265
218403,20030628,81459,23830,26355
218503,20030629,74778,80839,62352
218603,20030701,37785,95171,74609
218703,20030702,11525,16411,94704
218803,20030705,30948,06008,33206
218903,20030706,05870,10523,36967
219003,20030709,96251,82256,13711
219103,20030712,14231,24527,23361
219203,20030713,71272,54488,33337
219303,20030716,71382,50742,50939
219403,20030719,62291,56038,91974
219503,20030720,94712,06699,98130
219603,20030723,86042,06923,70996
219703,20030726,25315,65410,24610
219803,20030727,08953,61789,27660
219903,20030730,91529,13934,70178
220003,20030802,27127,41895,89875
220103,20030803,40102,51336,33121
220203,20030806,17045,03764,82809
220303,20030809,85149,58614,24200
220403,20030810,44027,20778,65501
220503,20030813,13503,65387,11762
220603,20030816,88169,37457,71701
220703,20030817,95314,09295,59459
220803,20030820,91811,56064,68127
220903,20030823,44466,16389,54451
221003,20030824,91876,10211,56866
221103,20030827,03289,86759,17024
221203,20030830,74007,99720,04121
221303,20030831,48944,30342,08813
221403,20030902,12057,05109,40360
221503,20030903,51595,27524,64257
221603,20030906,38753,79270,48210
221703,20030907,73393,55219,28787
221803,20030910,29269,37460,29554
221903,20030913,42907,72801,03413
222003,20030914,62703,84011,33532
222103,20030917,62269,87855,94280
222203,20030920,63269,87498,24115
222303,20030921,60008,23282,46446
222403,20030924,53009,94883,52269
222503,20030927,34423,06088,62379
222603,20030928,95534,72096,19072
222703,20031001,17167,70302,43041
222803,20031004,92097,35117,86937
222903,20031005,91086,29637,01779
223003,20031008,63314,03840,64491
223103,20031011,65463,66645,22283
223203,20031012,85894,62390,75583
223303,20031014,07455,85162,10883
223403,20031015,13824,57174,84405
223503,20031018,06172,97581,66123
223603,20031019,13722,84067,68575
223703,20031022,60629,68153,14150
223803,20031025,46912,52251,88034
223903,20031026,51420,21190,61381
224003,20031029,94830,26376,49182
224103,20031101,12330,74379,07540
224203,20031102,57003,34563,64191
224303,20031105,42120,13004,36106
224403,20031108,11021,42478,70424
224503,20031109,08949,10362,87474
224603,20031112,80932,76349,21378
224703,20031115,51463,73322,14064
224803,20031116,05561,90450,27979
224903,20031119,19854,46234,75372
225003,20031122,57922,03729,67456
225103,20031123,64539,78087,52676
225203,20031125,05573,99806,96020
225303,20031126,24908,29489,90972
225403,20031129,54961,99810,96292
225503,20031130,59767,64736,15674
225603,20031203,60529,48698,50437
225703,20031206,93159,34928,58838
225803,20031207,21271,63028,45177
225903,20031210,35190,17400,91639
226003,20031213,71448,79744,67012
226103,20031214,88624,98620,30645
226203,20031217,39298,72602,37888
226303,20031220,84431,94326,47179
226403,20031221,94000,35863,40590
226503,20031224,83662,34674,12628
226603,20031227,48533,51107,01331
226703,20031228,45396,62839,03145
226803,20031230,37799,53763,73493
226903,20031231,46247,19191,29647
227004,20040103,22901,82343,25559
227104,20040104,06681,31375,81093
227204,20040107,01355,14177,02116
227304,20040110,59986,33154,64260
227404,20040111,95930,47109,13138
227504,20040114,30595,13883,79469
227604,20040117,61741,84967,20116
227704,20040118,61872,45210,90855
227804,20040121,45660,84119,79342
227904,20040124,59412,68593,24629
228004,20040125,80703,00882,70001
228104,20040127,34305,22270,96369
228204,20040128,56713,57607,80165
228304,20040131,98647,80801,16883
228404,20040201,18453,76828,92730
228504,20040203,03544,42795,20605
228604,20040204,84922,68648,57395
228704,20040207,31132,16895,20529
228804,20040208,27839,38333,41230
228904,20040211,23266,70960,43293
229004,20040214,66802,96968,98032
229104,20040215,68860,05639,91535
229204,20040218,16220,47400,61614
229304,20040221,20548,82413,45545
229404,20040222,10981,77832,89761
229504,20040225,65074,82323,32283
229604,20040228,10137,02786,05119
229704,20040229,41588,99300,82409
229804,20040302,53838,16033,51206
229904,20040303,01217,99777,35697
230004,20040306,71625,53178,16951
230104,20040307,63183,53119,86410
230204,20040309,43088,44331,71129
230304,20040310,26609,03578,90746
230404,20040313,24725,94024,63936
230504,20040314,99310,11708,37400
230604,20040317,43398,71545,68207
230704,20040320,28446,68193,74713
230804,20040321,66845,17820,83949
230904,20040324,64279,17967,94553
231004,20040327,17311,62150,58203
231104,20040328,65695,72075,68767
231204,20040331,03444,15444,69115
231304,20040403,04287,19005,21056
231404,20040404,11788,62310,82137
231504,20040407,14947,07981,32868
231604,20040410,46889,55375,60906
231704,20040411,66697,06753,50569
231804,20040414,89153,11925,82273
231904,20040417,08278,03897,08941
232004,20040418,77897,53586,21531
232104,20040421,71200,26727,61216
232204,20040424,88857,25083,60193
232304,20040425,65986,58032,22735
232404,20040428,77506,89273,00859
232504,20040501,28765,38017,60568
232604,20040502,20329,96579,23530
232704,20040504,04924,09863,72261
232804,20040505,93395,63976,25925
232904,20040508,85913,69502,66593
233004,20040509,58542,12646,60930
233104,20040512,73540,35549,06507
233204,20040515,71674,36048,14306
233304,20040516,57112,87116,54968
233404,20040519,64672,45318,79238
233504,20040522,26289,72863,85491
233604,20040523,86870,88734,37062
233704,20040526,32639,99990,97109
233804,20040529,79162,90222,22939
233904,20040530,79722,02096,17793
234004,20040602,93097,44509,22513
234104,20040605,57606,60993,36729
234204,20040606,09567,74940,58490
234304,20040609,88372,49703,00934
234404,20040612,52939,14307,33905
234504,20040613,40640,76784,29268
234604,20040616,23278,22214,88841
234704,20040619,07650,77476,19303
234804,20040620,11888,73545,56041
234904,20040623,83454,44474,00677
235004,20040626,59152,36857,49606
235104,20040627,23281,67635,62111
235204,20040629,55514,05408,26896
235304,20040630,68139,53603,81957
235404,20040703,56626,49696,18341
235504,20040704,68955,62920,89708
235604,20040707,70921,75634,79419
235704,20040710,23303,61813,61299
235804,20040711,12065,06280,91193
235904,20040714,59141,55378,89893
236004,20040717,16618,13768,60313
236104,20040718,61913,42084,36898
236204,20040721,70608,67934,17677
236304,20040724,34402,26580,91074
236404,20040725,28462,83818,14492
236504,20040728,01617,02886,62455
236604,20040731,95060,86084,19726
236704,20040801,41282,67697,14856
236804,20040803,68601,66593,95264
236904,20040804,90670,90054,14948
237004,20040807,84502,34124,56310
237104,20040808,81016,09068,31502
237204,20040811,44561,71275,35242
237304,20040814,17987,01550,74734
237404,20040815,49492,54368,48252
237504,20040818,29076,19891,04784
237604,20040821,76060,20188,51692
237704,20040822,04462,65907,91927
237804,20040825,89320,51810,44945
237904,20040828,45197,61842,90116
238004,20040829,94412,89757,41469
238104,20040901,89156,44363,32983
238204,20040904,42937,90296,32167
238304,20040905,42903,53857,17305
238404,20040907,39000,81449,50181
238504,20040908,89275,49306,35372
238604,20040911,13774,61384,17159
238704,20040912,59380,77226,15394
238804,20040915,21891,79793,46681
238904,20040918,92967,20319,88964
239004,20040919,81194,67014,81186
239104,20040922,44281,36276,16208
239204,20040925,04669,35643,07125
239304,20040926,89198,39887,14628
239404,20040929,91000,45391,67860
239504,20041002,42269,33378,69316
239604,20041003,69637,25073,22230
239704,20041006,92803,83632,33141
239804,20041009,05919,42679,53421
239904,20041010,63333,59282,11830
240004,20041013,66409,29812,35863
240104,20041016,27494,55832,97986
240204,20041017,21568,51710,56121
240304,20041020,97472,90452,12726
240404,20041023,25733,60631,42905
240504,20041024,14219,35759,06705
240604,20041027,48793,09914,19678
240704,20041030,21598,08145,41444
240804,20041031,77479,57646,08785
240904,20041103,91840,31235,47756
241004,20041106,02162,95720,63383
241104,20041107,40650,08446,31353
241204,20041110,57097,05210,08609
241304,20041113,21521,34721,71273
241404,20041114,95122,05528,82247
241504,20041117,79670,10333,05143
241604,20041120,30633,06383,55437
241704,20041121,35274,77381,40329
241804,20041124,52161,23195,51334
241904,20041127,90543,02277,99990
242004,20041128,93906,59574,00961
242104,20041201,24444,13704,16104
242204,20041204,34082,70408,02004
242304,20041205,71876,48744,44502
242404,20041207,48794,72072,38012
242504,20041208,75863,02305,91368
242604,20041211,52866,46479,99443
242704,20041212,95722,63090,38939
242804,20041215,63298,89274,99600
242904,20041218,58029,45738,65887
243004,20041219,36566,84744,48865
243104,20041222,10244,46114,33916
243204,20041225,76744,90242,76233
243304,20041226,85252,51090,67945
243404,20041229,68035,98373,11888
243505,20050101,25295,81468,56579
243605,20050102,31327,09085,52719
243705,20050104,41743,34121,19775
243805,20050105,97065,50153,74460
243905,20050108,52012,82192,45191
244005,20050109,55230,43904,27131
244105,20050112,64712,15544,68788
244205,20050115,52064,52969,07140
244305,20050116,92766,11425,63114
244405,20050119,44247,12465,85789
244505,20050122,52182,63727,49503
244605,20050123,44187,65492,90942
244705,20050125,43343,65583,64728
244805,20050126,09474,24164,65954
244905,20050129,40190,28003,75797
245005,20050130,39968,00010,89339
245105,20050201,46100,49108,29593
245205,20050202,07951,02706,33786
245305,20050205,13187,26254,47425
245405,20050206,99038,81543,91552
245505,20050209,36243,32009,15622
245605,20050212,62911,78330,97070
245705,20050213,77750,08163,64959
245805,20050215,12083,61633,23423
245905,20050216,69606,49423,71658
246005,20050219,40681,71418,90256
246105,20050220,28534,94780,15715
246205,20050222,85891,57657,75641
246305,20050223,07742,74433,61171
246405,20050226,47508,10645,34827
246505,20050227,40676,51879,33922
246605,20050301,71681,02809,50639
246705,20050302,35747,81687,63751
246805,20050305,77691,48823,03417
246905,20050306,47905,00910,08067
247005,20050309,31162,88736,28255
247105,20050312,40533,79505,74882
247205,20050313,52346,86131,20442
247305,20050315,13880,77139,31286
247405,20050316,84454,33150,24273
247505,20050319,37967,52791,04747
247605,20050320,31157,05652,34291
247705,20050323,82546,02539,43062
247805,20050326,43566,37129,79790
247905,20050327,74683,67225,71963
248005,20050330,43509,26324,45972
248105,20050402,93163,91649,27087
248205,20050403,40679,30504,56486
248305,20050405,90936,43092,37433
248405,20050406,90869,51383,77924
248505,20050409,93552,00036,93915
248605,20050410,05721,54407,60838
248705,20050413,42654,93815,89011
248805,20050416,93374,58008,50347
248905,20050417,72260,07105,16616
249005,20050420,59144,43175,10143
249105,20050423,45016,27407,13332
249205,20050424,56057,56334,22100
249305,20050427,24255,53159,68688
249405,20050430,11587,58760,27762
249505,20050501,19588,24333,78177
249605,20050504,89896,34786,38695
249705,20050507,86381,45489,67984
249805,20050508,67060,78533,54695
249905,20050511,62366,26959,44151
250005,20050514,51682,43781,32825
250105,20050515,22381,28031,13562
250205,20050518,99382,55701,29708
250305,20050521,13300,90747,80821
250405,20050522,92330,83501,41918
250505,20050525,32480,55331,44672
250605,20050528,53247,98359,26272
250705,20050529,63577,64430,55085
250805,20050531,10960,18193,41111
250905,20050601,77236,31148,14139
251005,20050604,04800,05641,79340
251105,20050605,66508,77927,86102
251205,20050608,77700,50341,88942
251305,20050611,49420,84308,94347
251405,20050612,77738,48403,09676
251505,20050614,25105,38752,27990
251605,20050615,10432,55155,45031
251705,20050618,16730,81035,02025
251805,20050619,25889,59372,78326
251905,20050622,56802,34449,80601
252005,20050625,73881,25055,64005
252105,20050626,23760,78379,01971
252205,20050629,20991,05699,85723
252305,20050702,68477,81261,23560
252405,20050703,26832,98305,94943
252505,20050706,45282,24605,84989
252605,20050709,01908,69850,99857
252705,20050710,71227,39982,55958
252805,20050712,82277,03335,01804
252905,20050713,49489,10479,40263
253005,20050716,50292,66369,53823
253105,20050717,04809,00048,00572
253205,20050720,69396,39536,19982
253305,20050723,93898,79579,03056
253405,20050724,94327,34030,76989
253505,20050727,81035,99922,59967
253605,20050730,24276,70510,51959
253705,20050731,34948,36848,03488
253805,20050802,59602,60196,75427
253905,20050803,69964,77973,37957
254005,20050806,62363,62562,35523
254105,20050807,81463,27822,36785
254205,20050810,37846,73034,45839
254305,20050813,54944,88680,68182
254405,20050814,05088,35996,10608
254505,20050817,04079,75910,46148
254605,20050820,33217,00207,22326
254705,20050821,79728,05309,22598
254805,20050824,74469,26369,98894
254905,20050827,03975,91694,51136
255005,20050828,14324,00717,44409
255105,20050831,90548,79560,91304
255205,20050903,55667,46382,91048
255305,20050904,43590,77965,83264
255405,20050907,46261,40495,85473
255505,20050910,54572,51118,64760
255605,20050911,61869,13205,06913
255705,20050914,83325,09820,16072
255805,20050917,12315,49810,17738
255905,20050918,41871,96280,75324
256005,20050921,18033,51208,57636
256105,20050924,40770,95965,68769
256205,20050925,91573,28373,92682
256305,20050927,45791,69700,27033
256405,20050928,86212,24297,96333
256505,20051001,26524,51127,48722
256605,20051002,71532,03170,57094
256705,20051005,52714,25644,48790
256805,20051008,58729,59649,09150
256905,20051009,03590,10081,96102
257005,20051012,24272,07840,72899
257105,20051015,01056,36549,40083
257205,20051016,65407,27977,65294
257305,20051019,67347,54780,69329
257405,20051022,17710,87029,59403
257505,20051023,46984,50111,17054
257605,20051026,92107,62908,35867
