DrawNo,DrawDate,1stPrizeNo,2ndPrizeNo,3rdPrizeNo
060493,19930808,81818,60595,97130
060593,19930811,31506,25174,86310
060693,19930812,73489,04470,59780
060793,19930815,02602,78891,51698
060893,19930818,04552,88741,05030
060993,19930819,15317,49868,20894
061093,19930822,19403,52930,07825
061193,19930825,37186,31546,37531
061293,19930826,82944,60930,91022
061393,19930829,30692,39968,51369
061493,19930901,16846,30466,13482
061593,19930902,65570,23289,58635
061693,19930905,36915,95881,10191
061793,19930908,36381,27363,92093
061893,19930909,53426,09688,00847
061993,19930912,28506,99501,31246
062093,19930915,03443,23155,24084
062193,19930916,68515,14899,54910
062293,19930919,82375,49683,41509
062393,19930922,38140,02020,84079
062493,19930923,68288,81920,37471
062593,19930926,23226,24839,51585
062693,19930929,06427,64969,67055
062793,19930930,09338,62895,87897
062893,19931003,64415,97845,92512
062993,19931006,66745,31243,05606
063093,19931007,66069,32680,23102
063193,19931010,74821,70311,08827
063293,19931013,31534,14982,90243
063393,19931014,58072,97117,10635
063493,19931017,77095,41203,32884
063593,19931020,66835,31145,15745
063693,19931021,89444,82678,03186
063793,19931024,41750,03104,05692
063893,19931027,85323,34851,15489
063993,19931028,09143,07143,05616
064093,19931031,37788,16053,45591
064193,19931103,72253,80682,02147
064293,19931104,78792,06680,66052
064393,19931107,21245,21524,21383
064493,19931110,65439,91046,38608
064593,19931111,16597,21671,81542
064693,19931114,28086,35066,12461
064793,19931117,53644,60347,30719
064893,19931118,15916,69421,34606
064993,19931121,59192,10794,44146
065093,19931124,10017,53449,80830
065193,19931125,90842,37230,41456
065293,19931128,96693,47693,42622
065393,19931201,72278,09114,47227
065493,19931202,10503,97805,07503
065593,19931205,26520,19018,64953
065693,19931208,14202,24475,21150
065793,19931209,12852,72305,44532
065893,19931212,11004,18139,33484
065993,19931215,46839,26785,94686
066093,19931216,53597,90756,25705
066193,19931219,52311,31951,48251
066293,19931222,29217,21286,97744
066393,19931223,33035,05196,06153
066493,19931226,41841,25976,51484
066593,19931229,43765,80780,23945
066693,19931230,91275,65414,72317
